Name ;Current Price [€];High [€];Circ.Supply;Tot.Supply ;?Capped;Upside [%];Dillution [%];Chainshare/kEuro;Comb.Score
BTC;15683;57900;19222768;21000000;1;269;92;3.04E-09;7.48E-05
BCH;100;3180;19245406;21000000;1;3080;92;4.76E-07;1.34E-01
ETH;1200;4500;120521017;120521017;0;275;100;6.91E-09;1.90E-04
Dot;5.25;46.86;1175949235;1256898368;0;793;94;1.52E-07;1.12E-02
Ava;12.84;128;300704871;720000000;1;897;42;1.08E-07;4.05E-03
Link;7.24;43;491599971;1000000000;1;494;49;1.38E-07;3.35E-03
Mana;0.4;5.2;1816690754;2193377227;1;1200;83;1.14E-06;1.13E-01
Helium;2.2;48;133793173;223000000;1;2082;60;2.04E-06;2.55E-01
RUNE;1.29;20;300700561;500000000;1;1450;60;1.55E-06;1.35E-01
Bat;0.225408;1.99;1490523705;1500000000;1;783;99;2.96E-06;2.30E-01
Lbry;0.01082199;1.44;654243962;1083202000;0;13206;60;8.53E-05;6.80E+01
Hopr;0.054068;1.84;220026459;1000000000;1;3303;22;1.85E-05;1.34E+00
Node;0.00041179;1.83;16760362;100000000;1;444301;17;2.43E-02;1.81E+05
UNI;6.14;37;753766667;1000000000;1;503;75;1.63E-07;6.17E-03
ATOM;9.74;39.22;292586163;292586163;0;303;100;3.51E-07;1.06E-02
GNO;89;556;2579589;3000000;1;525;86;3.75E-06;1.69E-01
